Year,Quarter,Region,Therapy_Area,Revenue,Profit,Units_Sold,Transactions,Margin_%
2022,Q4,East,Diabetes,1855132.6,860565.96,4077,17,46.4
2022,Q4,East,Neurology,1969440.27,984610.16,3616,14,50.0
2022,Q4,East,Oncology,1103185.98,477112.89,2887,10,43.2
2022,Q4,East,Respiratory,1075179.95,450998.05,2765,14,41.9
2022,Q4,North,Cardiovascular,645610.89,294860.56,1904,8,45.7
2022,Q4,North,Diabetes,773548.81,303960.5,1834,8,39.3
2022,Q4,North,Neurology,1330768.29,608967.74,2869,12,45.8
2022,Q4,North,Oncology,1650047.21,646166.95,3361,11,39.2
2022,Q4,North,Respiratory,2349258.66,1067007.87,5094,16,45.4
2022,Q4,South,Cardiovascular,1234845.5899999999,559438.29,2787,10,45.3
2022,Q4,South,Diabetes,1823070.45,803270.76,5054,20,44.1
2022,Q4,South,Neurology,2103537.11,883673.55,4724,15,42.0
2022,Q4,South,Oncology,1659636.7,764670.05,3886,11,46.1
2022,Q4,South,Respiratory,960740.15,460010.0,2328,7,47.9
2022,Q4,West,Cardiovascular,1456343.74,650170.85,3737,11,44.6
2022,Q4,West,Diabetes,928722.12,458067.44,2639,9,49.3
2022,Q4,West,Neurology,1089228.58,410998.15,2193,8,37.7
2022,Q4,West,Oncology,1640621.69,678931.3,3333,14,41.4
2022,Q4,West,Respiratory,2162718.9899999998,942179.9,5462,16,43.6
2023,Q1,East,Cardiovascular,1324295.84,696830.55,3580,14,52.6
2023,Q1,East,Diabetes,1519087.66,718114.23,4573,17,47.3
2023,Q1,East,Neurology,1403396.01,602166.99,2766,13,42.9
2023,Q1,East,Oncology,1204787.74,609035.7000000001,3057,11,50.6
2023,Q1,East,Respiratory,2165615.79,972864.95,4647,14,44.9
2023,Q1,North,Cardiovascular,820034.03,377810.27,2778,12,46.1
2023,Q1,North,Diabetes,1746169.31,714468.04,3604,14,40.9
2023,Q1,North,Neurology,3038702.14,1392964.61,5674,18,45.8
2023,Q1,North,Oncology,721361.99,287805.27,1725,8,39.9
2023,Q1,North,Respiratory,1081252.33,405999.23,2255,8,37.5
2023,Q1,South,Cardiovascular,1904827.74,913065.66,3684,13,47.9
2023,Q1,South,Diabetes,1848103.39,830200.67,4605,15,44.9
2023,Q1,South,Neurology,1549565.2,730555.72,3547,13,47.1
2023,Q1,South,Oncology,1970304.8599999999,919299.2999999999,4044,14,46.7
2023,Q1,South,Respiratory,835264.07,413483.73,2517,11,49.5
2023,Q1,West,Cardiovascular,382336.24,143365.66,687,4,37.5
2023,Q1,West,Diabetes,1458509.74,673110.9,3732,14,46.2
2023,Q1,West,Neurology,963942.29,468120.18,2296,8,48.6
2023,Q1,West,Oncology,2091824.81,908841.97,5183,18,43.4
2023,Q1,West,Respiratory,2057263.66,971906.64,5011,15,47.2
2023,Q2,East,Cardiovascular,622082.83,224747.47,1418,6,36.1
2023,Q2,East,Diabetes,1317696.52,634517.51,4408,16,48.2
2023,Q2,East,Neurology,1390679.08,606489.27,3847,14,43.6
2023,Q2,East,Oncology,905716.21,450446.99,3080,12,49.7
2023,Q2,East,Respiratory,1616781.36,690312.35,4057,13,42.7
2023,Q2,North,Cardiovascular,881554.12,392905.17000000004,2221,8,44.6
2023,Q2,North,Diabetes,1898473.71,815222.41,4102,16,42.9
2023,Q2,North,Neurology,1891865.51,800701.61,4609,17,42.3
2023,Q2,North,Oncology,1452455.17,676224.48,3657,11,46.6
2023,Q2,North,Respiratory,2631823.77,1189977.6300000001,4885,18,45.2
2023,Q2,South,Cardiovascular,2094795.69,958182.11,3936,14,45.7
2023,Q2,South,Diabetes,1307216.4000000001,618823.3,3271,14,47.3
2023,Q2,South,Neurology,706767.71,360622.83999999997,2112,7,51.0
2023,Q2,South,Oncology,1102478.7,523148.86,2073,7,47.5
2023,Q2,South,Respiratory,1183236.67,569080.27,3287,12,48.1
2023,Q2,West,Cardiovascular,2538317.95,1103767.71,5089,17,43.5
2023,Q2,West,Diabetes,1775592.2,832578.64,4760,16,46.9
2023,Q2,West,Neurology,1725472.56,781827.09,4704,14,45.3
2023,Q2,West,Oncology,1594964.43,713642.97,3525,11,44.7
2023,Q2,West,Respiratory,969353.0700000001,424827.96,2612,7,43.8
2023,Q3,East,Cardiovascular,1044242.33,499462.71,3638,10,47.8
2023,Q3,East,Diabetes,1035679.87,459978.16,2318,11,44.4
2023,Q3,East,Neurology,1205888.28,501266.41,3698,12,41.6
2023,Q3,East,Oncology,1216095.21,554657.9299999999,2961,13,45.6
2023,Q3,East,Respiratory,1730577.79,761759.9299999999,3840,13,44.0
2023,Q3,North,Cardiovascular,1452557.88,677232.75,2991,11,46.6
2023,Q3,North,Diabetes,2017575.02,880321.38,4453,17,43.6
2023,Q3,North,Neurology,746240.0499999999,359774.95,2498,8,48.2
2023,Q3,North,Oncology,1112258.23,479050.78,2500,13,43.1
2023,Q3,North,Respiratory,1579429.21,780950.71,3540,12,49.4
2023,Q3,South,Cardiovascular,2754194.62,1342989.21,6728,21,48.8
2023,Q3,South,Diabetes,2033987.66,879447.05,3702,15,43.2
2023,Q3,South,Neurology,1742854.19,859887.8200000001,3147,14,49.3
2023,Q3,South,Oncology,3078411.81,1322512.83,6958,23,43.0
2023,Q3,South,Respiratory,1615090.51,787636.76,4476,15,48.8
2023,Q3,West,Cardiovascular,1983972.39,794180.48,4380,14,40.0
2023,Q3,West,Diabetes,987870.87,441623.24,2520,9,44.7
2023,Q3,West,Neurology,1316415.06,580018.27,2639,11,44.1
2023,Q3,West,Oncology,1438684.1,698291.18,4048,12,48.5
2023,Q3,West,Respiratory,1890608.02,768056.56,4146,15,40.6
2023,Q4,East,Cardiovascular,2085048.81,877286.33,4683,16,42.1
2023,Q4,East,Diabetes,1057848.56,439024.66000000003,2573,8,41.5
2023,Q4,East,Neurology,1572625.53,644230.42,3106,11,41.0
2023,Q4,East,Oncology,1415621.73,662185.17,3039,16,46.8
2023,Q4,East,Respiratory,1952143.39,870343.15,5122,19,44.6
2023,Q4,North,Cardiovascular,1869826.91,798861.54,4284,14,42.7
2023,Q4,North,Diabetes,446132.95,216370.47999999998,1174,6,48.5
2023,Q4,North,Neurology,768559.75,357858.34,1637,7,46.6
2023,Q4,North,Oncology,2121184.72,858938.09,4698,13,40.5
2023,Q4,North,Respiratory,2549372.51,1164562.41,4141,12,45.7
2023,Q4,South,Cardiovascular,1243123.29,553756.44,3077,11,44.5
2023,Q4,South,Diabetes,2171216.71,965972.86,4583,16,44.5
2023,Q4,South,Neurology,1403363.6099999999,674146.9299999999,3203,13,48.0
2023,Q4,South,Oncology,1547748.79,691188.37,5000,17,44.7
2023,Q4,South,Respiratory,1559966.24,738112.84,4304,12,47.3
2023,Q4,West,Cardiovascular,2679876.65,1285904.8900000001,6551,21,48.0
2023,Q4,West,Diabetes,1124203.61,522866.27,3281,11,46.5
2023,Q4,West,Neurology,2224442.6,981516.76,5315,18,44.1
2023,Q4,West,Oncology,1862420.26,787086.45,3787,13,42.3
2023,Q4,West,Respiratory,2676600.9,1289756.39,5614,18,48.2
