Transaction_ID,Date,Year,Month,Quarter,Region,Zone,Channel,Therapy_Area,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Profit
TXN1032,2023-12-14,2023,12,Q4,East,Zone C,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,492,325.79,156.24,160288.68,83418.6
TXN1033,2023-08-01,2023,8,Q3,South,Zone B,Distributor,Respiratory,Salbutamol Inhaler,332,375.8,189.79,124765.6,61755.32
TXN1034,2023-03-17,2023,3,Q1,West,Zone D,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,53,68.24,40.51,3616.72,1469.69
TXN1035,2022-12-14,2022,12,Q4,North,Zone A,Hospital,Respiratory,Montelukast 10mg,282,764.8,381.81,215673.6,108003.18
TXN1036,2022-04-01,2022,4,Q2,East,Zone C,Distributor,Oncology,Capecitabine 500mg,240,279.27,127.7,67024.8,36376.8
TXN1037,2023-06-18,2023,6,Q2,West,Zone D,Distributor,Diabetes,Metformin 500mg,107,747.51,314.8,79983.57,46299.97
TXN1038,2022-10-09,2022,10,Q4,South,Zone B,Distributor,Diabetes,Sitagliptin 50mg,435,291.91,191.08,126980.85,43861.05
TXN1039,2022-10-26,2022,10,Q4,South,Zone B,Distributor,Respiratory,Montelukast 10mg,404,242.16,141.29,97832.64,40751.48
TXN1040,2023-01-12,2023,1,Q1,North,Zone A,Distributor,Neurology,Levetiracetam 250mg,313,576.48,368.22,180438.24,65185.38
TXN1041,2023-07-22,2023,7,Q3,East,Zone C,Retail Pharmacy,Neurology,Pregabalin 75mg,496,76.96,41.53,38172.16,17573.28
TXN1042,2023-06-12,2023,6,Q2,South,Zone B,Hospital,Cardiovascular,Atorvastatin 10mg,493,294.99,191.26,145430.07,51138.89
TXN1043,2022-04-20,2022,4,Q2,East,Zone C,Hospital,Neurology,Pregabalin 75mg,399,455.48,269.29,181736.52,74289.81
TXN1044,2023-03-26,2023,3,Q1,South,Zone B,Distributor,Neurology,Pregabalin 75mg,194,349.12,185.05,67729.28,31829.58
TXN1045,2022-07-26,2022,7,Q3,South,Zone B,Retail Pharmacy,Respiratory,Montelukast 10mg,176,571.98,298.97,100668.48,48049.76
TXN1046,2023-09-07,2023,9,Q3,North,Zone A,Distributor,Diabetes,Glipizide 5mg,286,259.95,178.45,74345.7,23309.0
TXN1047,2022-12-25,2022,12,Q4,North,Zone A,Hospital,Respiratory,Salbutamol Inhaler,203,316.98,198.86,64346.94,23978.36
TXN1048,2022-01-12,2022,1,Q1,South,Zone B,Retail Pharmacy,Neurology,Levetiracetam 250mg,143,691.6,422.63,98898.8,38462.71
TXN1049,2023-01-10,2023,1,Q1,South,Zone B,Retail Pharmacy,Respiratory,Salbutamol Inhaler,303,375.39,195.03,113743.17,54649.08
TXN1050,2023-10-24,2023,10,Q4,North,Zone A,Hospital,Neurology,Pregabalin 75mg,299,750.08,412.78,224273.92,100852.7
TXN1051,2023-07-27,2023,7,Q3,North,Zone A,Retail Pharmacy,Neurology,Pregabalin 75mg,307,69.88,40.23,21453.16,9102.55
TXN1052,2022-03-01,2022,3,Q1,East,Zone C,Retail Pharmacy,Neurology,Levetiracetam 250mg,476,756.1,390.02,359903.6,174254.08
TXN1053,2022-12-18,2022,12,Q4,East,Zone C,Distributor,Neurology,Levetiracetam 250mg,144,332.94,137.07,47943.36,28205.28
TXN1054,2023-10-07,2023,10,Q4,East,Zone C,Retail Pharmacy,Cardiovascular,Atorvastatin 10mg,139,305.47,146.08,42460.33,22155.21
TXN1055,2022-08-04,2022,8,Q3,North,Zone A,Retail Pharmacy,Diabetes,Metformin 500mg,469,363.46,250.89,170462.74,52795.33
TXN1056,2022-03-24,2022,3,Q1,North,Zone A,Distributor,Cardiovascular,Telmisartan 40mg,85,329.01,208.24,27965.85,10265.45
TXN1057,2022-07-17,2022,7,Q3,South,Zone B,Hospital,Respiratory,Montelukast 10mg,62,604.93,285.21,37505.66,19822.64
TXN1058,2022-06-12,2022,6,Q2,South,Zone B,Hospital,Neurology,Pregabalin 75mg,446,721.64,372.92,321851.44,155529.12
TXN1059,2022-07-19,2022,7,Q3,North,Zone A,Retail Pharmacy,Oncology,Capecitabine 500mg,333,762.55,522.49,253929.15,79939.98
TXN1060,2022-12-21,2022,12,Q4,East,Zone C,Distributor,Respiratory,Salbutamol Inhaler,74,465.28,215.81,34430.72,18460.78
TXN1061,2022-05-26,2022,5,Q2,West,Zone D,Hospital,Cardiovascular,Telmisartan 40mg,91,780.69,545.53,71042.79,21399.56
TXN1062,2022-02-12,2022,2,Q1,East,Zone C,Hospital,Respiratory,Salbutamol Inhaler,288,157.24,98.82,45285.12,16824.96
TXN1063,2023-09-05,2023,9,Q3,North,Zone A,Retail Pharmacy,Respiratory,Montelukast 10mg,483,718.92,319.19,347238.36,193069.59
TXN1064,2023-04-04,2023,4,Q2,East,Zone C,Retail Pharmacy,Respiratory,Salbutamol Inhaler,194,760.44,529.11,147525.36,44878.02
TXN1065,2023-06-07,2023,6,Q2,West,Zone D,Retail Pharmacy,Oncology,Imatinib 100mg,216,368.17,247.38,79524.72,26090.64
TXN1066,2023-12-09,2023,12,Q4,East,Zone C,Distributor,Respiratory,Salbutamol Inhaler,175,92.23,40.18,16140.25,9108.75
TXN1067,2023-09-01,2023,9,Q3,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,240,408.29,173.47,97989.6,56356.8
TXN1068,2023-05-05,2023,5,Q2,North,Zone A,Distributor,Diabetes,Metformin 500mg,129,445.78,311.11,57505.62,17372.43
TXN1069,2023-09-21,2023,9,Q3,East,Zone C,Retail Pharmacy,Neurology,Levetiracetam 250mg,354,571.81,306.7,202420.74,93848.94
TXN1070,2022-09-06,2022,9,Q3,South,Zone B,Hospital,Oncology,Capecitabine 500mg,61,769.03,320.96,46910.83,27332.27
TXN1071,2023-10-09,2023,10,Q4,West,Zone D,Distributor,Diabetes,Glipizide 5mg,365,487.74,206.47,178025.1,102663.55
TXN1072,2022-05-13,2022,5,Q2,South,Zone B,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,261,502.09,241.65,131045.49,67974.84
TXN1073,2023-03-10,2023,3,Q1,East,Zone C,Retail Pharmacy,Respiratory,Montelukast 10mg,305,485.87,328.33,148190.35,48049.7
TXN1074,2022-07-15,2022,7,Q3,South,Zone B,Hospital,Oncology,Imatinib 100mg,338,633.2,344.53,214021.6,97570.46
TXN1075,2022-09-01,2022,9,Q3,East,Zone C,Retail Pharmacy,Respiratory,Montelukast 10mg,391,671.87,383.45,262701.17,112772.22
TXN1076,2022-05-05,2022,5,Q2,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,360,698.54,449.77,251474.4,89557.2
TXN1077,2022-05-21,2022,5,Q2,East,Zone C,Retail Pharmacy,Respiratory,Salbutamol Inhaler,214,617.81,317.16,132211.34,64339.1
TXN1078,2022-04-02,2022,4,Q2,North,Zone A,Distributor,Cardiovascular,Telmisartan 40mg,495,708.67,444.41,350791.65,130808.7
TXN1079,2023-06-01,2023,6,Q2,West,Zone D,Retail Pharmacy,Diabetes,Glipizide 5mg,167,673.53,331.6,112479.51,57102.31
TXN1080,2023-11-23,2023,11,Q4,West,Zone D,Distributor,Respiratory,Montelukast 10mg,362,492.47,267.91,178274.14,81290.72
TXN1081,2023-11-02,2023,11,Q4,North,Zone A,Retail Pharmacy,Respiratory,Montelukast 10mg,484,727.36,425.64,352042.24,146032.48
TXN1082,2023-11-06,2023,11,Q4,South,Zone B,Hospital,Diabetes,Glipizide 5mg,484,728.12,367.32,352410.08,174627.2
TXN1083,2022-10-10,2022,10,Q4,West,Zone D,Hospital,Neurology,Pregabalin 75mg,100,573.23,366.26,57323.0,20697.0
TXN1084,2023-06-11,2023,6,Q2,South,Zone B,Distributor,Cardiovascular,Amlodipine 5mg,102,310.56,143.71,31677.12,17018.7
TXN1085,2022-11-04,2022,11,Q4,East,Zone C,Hospital,Cardiovascular,Telmisartan 40mg,423,573.25,260.27,242484.75,132390.54
TXN1086,2022-02-05,2022,2,Q1,East,Zone C,Retail Pharmacy,Oncology,Imatinib 100mg,110,194.22,80.07,21364.2,12556.5
TXN1087,2023-05-26,2023,5,Q2,West,Zone D,Retail Pharmacy,Diabetes,Metformin 500mg,375,140.48,75.61,52680.0,24326.25
TXN1088,2023-11-22,2023,11,Q4,South,Zone B,Distributor,Cardiovascular,Atorvastatin 10mg,122,119.22,64.9,14544.84,6627.04
TXN1089,2023-01-03,2023,1,Q1,West,Zone D,Hospital,Oncology,Imatinib 100mg,75,701.23,298.27,52592.25,30222.0
TXN1090,2023-08-24,2023,8,Q3,West,Zone D,Distributor,Diabetes,Sitagliptin 50mg,435,610.6,250.96,265611.0,156443.4
TXN1091,2022-11-06,2022,11,Q4,East,Zone C,Distributor,Oncology,Imatinib 100mg,288,72.85,48.09,20980.8,7130.88
TXN1092,2022-12-22,2022,12,Q4,East,Zone C,Retail Pharmacy,Cardiovascular,Telmisartan 40mg,251,472.97,308.48,118715.47,41286.99
TXN1093,2022-04-13,2022,4,Q2,South,Zone B,Retail Pharmacy,Neurology,Levetiracetam 250mg,74,559.33,356.15,41390.42,15035.32
TXN1094,2023-02-19,2023,2,Q1,East,Zone C,Retail Pharmacy,Neurology,Levetiracetam 250mg,160,609.08,322.51,97452.8,45851.2
TXN1095,2023-10-13,2023,10,Q4,North,Zone A,Retail Pharmacy,Respiratory,Montelukast 10mg,369,478.08,242.3,176411.52,87002.82
TXN1096,2022-06-04,2022,6,Q2,North,Zone A,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,326,164.64,78.0,53672.64,28244.64
TXN1097,2022-03-06,2022,3,Q1,East,Zone C,Retail Pharmacy,Cardiovascular,Telmisartan 40mg,80,357.8,248.57,28624.0,8738.4
TXN1098,2023-06-19,2023,6,Q2,West,Zone D,Retail Pharmacy,Neurology,Levetiracetam 250mg,167,243.43,109.85,40652.81,22307.86
TXN1099,2022-08-06,2022,8,Q3,North,Zone A,Retail Pharmacy,Diabetes,Sitagliptin 50mg,75,259.98,164.01,19498.5,7197.75
TXN1100,2023-01-26,2023,1,Q1,South,Zone B,Retail Pharmacy,Neurology,Levetiracetam 250mg,69,231.81,100.71,15994.89,9045.9
TXN1101,2022-04-18,2022,4,Q2,West,Zone D,Retail Pharmacy,Respiratory,Montelukast 10mg,382,449.44,186.76,171686.08,100343.76
TXN1102,2022-08-09,2022,8,Q3,North,Zone A,Hospital,Diabetes,Glipizide 5mg,179,115.9,51.19,20746.1,11583.09
TXN1103,2023-06-12,2023,6,Q2,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,468,311.65,211.57,145852.2,46837.44
TXN1104,2022-09-08,2022,9,Q3,South,Zone B,Retail Pharmacy,Respiratory,Montelukast 10mg,467,185.92,78.08,86824.64,50361.28
TXN1105,2022-09-21,2022,9,Q3,West,Zone D,Hospital,Respiratory,Montelukast 10mg,278,201.22,90.37,55939.16,30816.3
TXN1106,2023-10-25,2023,10,Q4,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,111,319.12,211.63,35422.32,11931.39
TXN1107,2023-01-17,2023,1,Q1,West,Zone D,Hospital,Oncology,Imatinib 100mg,72,379.06,217.29,27292.32,11647.44
TXN1108,2022-08-06,2022,8,Q3,East,Zone C,Distributor,Diabetes,Glipizide 5mg,153,518.18,225.44,79281.54,44789.22
TXN1109,2023-04-07,2023,4,Q2,East,Zone C,Distributor,Oncology,Capecitabine 500mg,64,708.97,388.96,45374.08,20480.64
TXN1110,2022-01-22,2022,1,Q1,West,Zone D,Retail Pharmacy,Respiratory,Montelukast 10mg,460,607.96,249.3,279661.6,164983.6
TXN1111,2023-01-04,2023,1,Q1,South,Zone B,Hospital,Respiratory,Salbutamol Inhaler,167,665.94,288.48,111211.98,63035.82
TXN1112,2022-08-13,2022,8,Q3,West,Zone D,Retail Pharmacy,Neurology,Pregabalin 75mg,310,414.77,216.79,128578.7,61373.8
TXN1113,2023-04-11,2023,4,Q2,East,Zone C,Retail Pharmacy,Oncology,Imatinib 100mg,331,238.85,120.31,79059.35,39236.74
TXN1114,2022-12-25,2022,12,Q4,South,Zone B,Hospital,Diabetes,Glipizide 5mg,267,489.67,270.18,130741.89,58603.83
TXN1115,2023-12-05,2023,12,Q4,East,Zone C,Distributor,Neurology,Levetiracetam 250mg,405,739.06,470.8,299319.3,108645.3
TXN1116,2023-09-22,2023,9,Q3,South,Zone B,Distributor,Cardiovascular,Telmisartan 40mg,100,602.33,409.77,60233.0,19256.0
TXN1117,2022-05-25,2022,5,Q2,East,Zone C,Hospital,Cardiovascular,Atorvastatin 10mg,395,679.17,297.07,268272.15,150929.5
TXN1118,2022-05-20,2022,5,Q2,East,Zone C,Hospital,Oncology,Capecitabine 500mg,480,91.07,45.59,43713.6,21830.4
TXN1119,2022-04-07,2022,4,Q2,North,Zone A,Retail Pharmacy,Diabetes,Metformin 500mg,74,697.64,472.22,51625.36,16681.08
TXN1120,2022-11-24,2022,11,Q4,East,Zone C,Hospital,Diabetes,Sitagliptin 50mg,492,389.33,172.18,191550.36,106837.8
TXN1121,2022-08-22,2022,8,Q3,East,Zone C,Retail Pharmacy,Neurology,Pregabalin 75mg,210,321.8,184.77,67578.0,28776.3
TXN1122,2022-07-22,2022,7,Q3,West,Zone D,Retail Pharmacy,Diabetes,Metformin 500mg,386,770.8,342.7,297528.8,165246.6
TXN1123,2022-07-19,2022,7,Q3,West,Zone D,Distributor,Respiratory,Montelukast 10mg,306,282.45,146.65,86429.7,41554.8
TXN1124,2023-01-19,2023,1,Q1,West,Zone D,Retail Pharmacy,Oncology,Capecitabine 500mg,478,333.29,216.96,159312.62,55605.74
TXN1125,2023-02-04,2023,2,Q1,North,Zone A,Hospital,Oncology,Imatinib 100mg,162,350.57,199.09,56792.34,24539.76
TXN1126,2022-03-02,2022,3,Q1,West,Zone D,Hospital,Respiratory,Salbutamol Inhaler,337,254.23,170.14,85675.51,28338.33
TXN1127,2023-07-03,2023,7,Q3,East,Zone C,Distributor,Neurology,Pregabalin 75mg,398,355.99,201.32,141684.02,61558.66
TXN1128,2023-09-15,2023,9,Q3,East,Zone C,Retail Pharmacy,Respiratory,Montelukast 10mg,288,477.08,317.85,137399.04,45858.24
TXN1129,2023-04-23,2023,4,Q2,East,Zone C,Retail Pharmacy,Oncology,Capecitabine 500mg,214,155.81,81.32,33343.34,15940.86
TXN1130,2022-07-04,2022,7,Q3,East,Zone C,Hospital,Diabetes,Sitagliptin 50mg,134,69.9,31.76,9366.6,5110.76
TXN1131,2022-05-03,2022,5,Q2,West,Zone D,Distributor,Diabetes,Glipizide 5mg,453,301.9,195.49,136760.7,48203.73
TXN1132,2022-05-21,2022,5,Q2,East,Zone C,Distributor,Neurology,Pregabalin 75mg,471,630.38,320.75,296908.98,145835.73
TXN1133,2023-08-14,2023,8,Q3,West,Zone D,Distributor,Diabetes,Glipizide 5mg,130,701.35,383.1,91175.5,41372.5
TXN1134,2022-01-25,2022,1,Q1,West,Zone D,Distributor,Cardiovascular,Atorvastatin 10mg,63,606.27,369.61,38195.01,14909.58
TXN1135,2023-10-05,2023,10,Q4,North,Zone A,Distributor,Oncology,Capecitabine 500mg,491,725.43,440.6,356186.13,139851.53
TXN1136,2023-04-25,2023,4,Q2,South,Zone B,Retail Pharmacy,Diabetes,Metformin 500mg,90,255.54,144.7,22998.6,9975.6
TXN1137,2022-10-06,2022,10,Q4,South,Zone B,Distributor,Neurology,Levetiracetam 250mg,391,152.66,102.28,59690.06,19698.58
TXN1138,2022-05-26,2022,5,Q2,West,Zone D,Retail Pharmacy,Diabetes,Metformin 500mg,443,735.81,386.76,325963.83,154629.15
TXN1139,2022-01-21,2022,1,Q1,West,Zone D,Distributor,Diabetes,Glipizide 5mg,356,117.75,74.34,41919.0,15453.96
TXN1140,2023-01-02,2023,1,Q1,West,Zone D,Distributor,Oncology,Capecitabine 500mg,236,272.84,155.5,64390.24,27692.24
TXN1141,2022-10-20,2022,10,Q4,East,Zone C,Distributor,Respiratory,Montelukast 10mg,85,454.88,204.06,38664.8,21319.7
TXN1142,2022-02-09,2022,2,Q1,North,Zone A,Hospital,Oncology,Imatinib 100mg,250,628.18,271.36,157045.0,89205.0
TXN1143,2022-08-18,2022,8,Q3,North,Zone A,Hospital,Cardiovascular,Amlodipine 5mg,91,394.76,166.9,35923.16,20735.26
TXN1144,2023-06-27,2023,6,Q2,West,Zone D,Distributor,Neurology,Levetiracetam 250mg,403,127.32,62.94,51309.96,25945.14
TXN1145,2023-09-16,2023,9,Q3,North,Zone A,Distributor,Respiratory,Salbutamol Inhaler,360,440.98,187.86,158752.8,91123.2
TXN1146,2022-05-18,2022,5,Q2,West,Zone D,Hospital,Respiratory,Salbutamol Inhaler,423,527.92,366.47,223310.16,68293.35
TXN1147,2022-10-17,2022,10,Q4,West,Zone D,Distributor,Oncology,Capecitabine 500mg,96,83.12,47.92,7979.52,3379.2
TXN1148,2023-07-19,2023,7,Q3,South,Zone B,Retail Pharmacy,Respiratory,Montelukast 10mg,319,140.39,86.94,44784.41,17050.55
TXN1149,2022-04-07,2022,4,Q2,East,Zone C,Hospital,Respiratory,Montelukast 10mg,472,391.36,217.88,184721.92,81882.56
TXN1150,2023-02-23,2023,2,Q1,South,Zone B,Distributor,Oncology,Capecitabine 500mg,180,572.22,287.23,102999.6,51298.2
TXN1151,2023-09-10,2023,9,Q3,West,Zone D,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,446,519.42,345.83,231661.32,77421.14
TXN1152,2023-11-03,2023,11,Q4,South,Zone B,Distributor,Oncology,Capecitabine 500mg,296,189.1,97.42,55973.6,27137.28
TXN1153,2023-01-24,2023,1,Q1,East,Zone C,Distributor,Neurology,Levetiracetam 250mg,367,409.91,241.13,150436.97,61942.26
TXN1154,2022-07-03,2022,7,Q3,North,Zone A,Hospital,Diabetes,Glipizide 5mg,389,603.19,284.48,234640.91,123978.19
TXN1155,2023-05-15,2023,5,Q2,South,Zone B,Hospital,Diabetes,Glipizide 5mg,202,257.95,173.63,52105.9,17032.64
TXN1156,2023-04-05,2023,4,Q2,East,Zone C,Distributor,Cardiovascular,Amlodipine 5mg,189,767.31,490.62,145021.59,52294.41
TXN1157,2022-02-08,2022,2,Q1,West,Zone D,Hospital,Oncology,Capecitabine 500mg,202,607.51,254.85,122717.02,71237.32
TXN1158,2022-10-17,2022,10,Q4,East,Zone C,Retail Pharmacy,Respiratory,Salbutamol Inhaler,156,182.4,85.03,28454.4,15189.72
TXN1159,2023-07-17,2023,7,Q3,East,Zone C,Hospital,Respiratory,Salbutamol Inhaler,226,438.7,254.09,99146.2,41721.86
TXN1160,2023-02-03,2023,2,Q1,East,Zone C,Retail Pharmacy,Diabetes,Sitagliptin 50mg,111,797.25,533.54,88494.75,29271.81
TXN1161,2022-09-09,2022,9,Q3,North,Zone A,Distributor,Respiratory,Salbutamol Inhaler,117,485.06,207.34,56752.02,32493.24
TXN1162,2022-03-15,2022,3,Q1,East,Zone C,Hospital,Neurology,Levetiracetam 250mg,458,689.15,282.98,315630.7,186025.86
TXN1163,2023-08-05,2023,8,Q3,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,173,329.52,157.49,57006.96,29761.19
TXN1164,2023-12-19,2023,12,Q4,South,Zone B,Retail Pharmacy,Respiratory,Montelukast 10mg,130,96.14,63.92,12498.2,4188.6
TXN1165,2022-01-01,2022,1,Q1,East,Zone C,Distributor,Diabetes,Sitagliptin 50mg,311,440.95,291.22,137135.45,46566.03
TXN1166,2022-09-06,2022,9,Q3,East,Zone C,Distributor,Cardiovascular,Amlodipine 5mg,230,560.11,327.99,128825.3,53387.6
TXN1167,2023-09-11,2023,9,Q3,North,Zone A,Hospital,Oncology,Imatinib 100mg,80,669.36,293.62,53548.8,30059.2
TXN1168,2023-12-27,2023,12,Q4,South,Zone B,Hospital,Diabetes,Glipizide 5mg,344,194.85,82.86,67028.4,38524.56
TXN1169,2023-12-06,2023,12,Q4,North,Zone A,Distributor,Cardiovascular,Telmisartan 40mg,497,454.99,288.44,226130.03,82775.35
TXN1170,2023-02-05,2023,2,Q1,South,Zone B,Hospital,Diabetes,Metformin 500mg,368,344.11,156.17,126632.48,69161.92
TXN1171,2023-04-12,2023,4,Q2,South,Zone B,Retail Pharmacy,Neurology,Pregabalin 75mg,291,760.47,342.15,221296.77,121731.12
TXN1172,2022-06-15,2022,6,Q2,North,Zone A,Hospital,Diabetes,Glipizide 5mg,169,84.31,55.77,14248.39,4823.26
TXN1173,2022-04-01,2022,4,Q2,West,Zone D,Retail Pharmacy,Neurology,Levetiracetam 250mg,430,337.71,141.73,145215.3,84271.4
TXN1174,2023-07-04,2023,7,Q3,East,Zone C,Hospital,Oncology,Imatinib 100mg,75,169.2,91.46,12690.0,5830.5
TXN1175,2022-07-02,2022,7,Q3,East,Zone C,Distributor,Respiratory,Salbutamol Inhaler,334,570.26,265.87,190466.84,101666.26
TXN1176,2022-11-21,2022,11,Q4,South,Zone B,Distributor,Neurology,Pregabalin 75mg,244,763.15,339.84,186208.6,103287.64
TXN1177,2023-06-01,2023,6,Q2,West,Zone D,Retail Pharmacy,Respiratory,Salbutamol Inhaler,196,255.66,177.73,50109.36,15274.28
TXN1178,2022-01-12,2022,1,Q1,West,Zone D,Distributor,Diabetes,Metformin 500mg,330,586.19,333.44,193442.7,83407.5
TXN1179,2022-01-14,2022,1,Q1,West,Zone D,Retail Pharmacy,Neurology,Pregabalin 75mg,142,632.45,399.25,89807.9,33114.4
TXN1180,2023-12-20,2023,12,Q4,West,Zone D,Retail Pharmacy,Oncology,Imatinib 100mg,230,733.88,506.56,168792.4,52283.6
TXN1181,2023-07-09,2023,7,Q3,East,Zone C,Retail Pharmacy,Cardiovascular,Atorvastatin 10mg,322,505.48,239.73,162764.56,85571.5
TXN1182,2023-06-13,2023,6,Q2,West,Zone D,Hospital,Cardiovascular,Telmisartan 40mg,166,492.7,261.12,81788.2,38442.28
TXN1183,2023-02-11,2023,2,Q1,West,Zone D,Hospital,Respiratory,Montelukast 10mg,415,781.02,481.55,324123.3,124280.05
TXN1184,2022-08-17,2022,8,Q3,North,Zone A,Hospital,Cardiovascular,Atorvastatin 10mg,316,410.38,177.07,129680.08,73725.96
TXN1185,2022-10-02,2022,10,Q4,South,Zone B,Hospital,Neurology,Pregabalin 75mg,473,57.33,28.55,27117.09,13612.94
TXN1186,2023-01-02,2023,1,Q1,North,Zone A,Retail Pharmacy,Cardiovascular,Amlodipine 5mg,126,108.93,56.54,13725.18,6601.14
TXN1187,2023-02-17,2023,2,Q1,East,Zone C,Distributor,Diabetes,Glipizide 5mg,192,200.11,90.1,38421.12,21121.92
TXN1188,2023-09-09,2023,9,Q3,North,Zone A,Retail Pharmacy,Oncology,Imatinib 100mg,311,512.45,299.21,159371.95,66317.64
TXN1189,2023-11-04,2023,11,Q4,West,Zone D,Retail Pharmacy,Diabetes,Glipizide 5mg,432,110.09,73.59,47558.88,15768.0
TXN1190,2022-09-22,2022,9,Q3,South,Zone B,Distributor,Diabetes,Sitagliptin 50mg,237,598.69,254.14,141889.53,81658.35
